romdasSpikes,calcSpikesY,calcSpikesX,calcSpikesZ,iri,meanY,sdY,meanX,sdX,meanZ,sdZ,romLog,iroadLog,speed,gpsSpeed
1214,10,0,34,3.95,0.043728722,0.034808154,7.52E-08,9.76E-08,0.042291928,0.040095175,3.084218687,1,27.4244,132.5084712
1403,18,0,38,4.17,0.059806192,0.046437834,6.56E-08,5.26E-08,0.060578886,0.066319388,3.147057671,1.255272505,36.5919,20.82635273
1268,19,0,63,4.02,0.061239329,0.054921833,9.58E-08,8.72E-08,0.133644362,0.11485425,3.103119254,1.278753601,40.74295,27.72208121
943,11,0,56,3.64,0.053994731,0.04356448,7.95E-08,7.16E-08,0.104013838,0.088789507,2.974511693,1.041392685,43.00969,22.19689788
1715,231,0,377,4.54,0.081962859,0.05798974,1.06E-07,1.45E-07,0.108971099,0.075523609,3.234264124,2.36361198,6.030806,54.06821707
1282,24,0,44,4.04,0.055991451,0.043143232,1.10E-07,1.07E-07,0.050451692,0.052272321,3.107888025,1.380211242,26.87505,11.94330846
1098,14,0,51,3.82,0.064217221,0.061989891,6.42E-08,6.65E-08,0.085587251,0.086764651,3.04060234,1.146128036,39.12314,18.70341122
901,12,0,58,3.59,0.05207079,0.036937798,6.66E-08,6.45E-08,0.105292521,0.085866157,2.954724791,1.079181246,42.61942,21.97897351
1001,14,0,49,3.72,0.060232202,0.046819949,7.37E-08,9.20E-08,0.106200987,0.094272593,3.000434077,1.146128036,44.5704,24.26218199
1049,9,0,28,3.76,0.058575856,0.040819168,6.34E-08,8.57E-08,0.088234323,0.09915037,3.020775488,0.954242509,43.6329,23.16973633
1258,18,0,58,4,0.062384722,0.046777119,9.52E-08,9.08E-08,0.130029641,0.105740956,3.099680641,1.255272505,43.68532,27.9410658
1646,20,0,40,4.46,0.068910873,0.056783506,9.51E-08,8.88E-08,0.048567707,0.042879271,3.216429831,1.301029996,35.87409,24.47583137
1475,19,0,29,4.26,0.057120341,0.042382813,1.00E-07,1.16E-07,0.043295084,0.043925858,3.16879202,1.278753601,39.78759,22.10864646
1153,27,0,51,3.88,0.083509756,0.05863117,9.87E-08,8.60E-08,0.122101907,0.110613422,3.061829307,1.431363764,44.95398,26.97838482
1099,17,0,32,3.82,0.056769652,0.043588647,1.26E-07,1.87E-07,0.04045218,0.028850565,3.040997692,1.230448921,39.34967,26.36373734
1606,90,0,196,4.41,0.065469681,0.050949956,1.01E-07,1.20E-07,0.084207121,0.076894493,3.205745541,1.954242509,9.373343,78.2403221
1082,11,0,45,3.8,0.045803789,0.035349964,6.87E-08,8.28E-08,0.040725858,0.047944485,3.034227261,1.041392685,23.83325,18.30585619
1007,8,0,30,3.72,0.048491245,0.033395401,7.74E-08,9.37E-08,0.043273022,0.035546077,3.003029471,0.903089987,38.14687,23.3377006
749,15,0,42,3.41,0.060082651,0.048180674,5.07E-08,5.76E-08,0.079944959,0.070203831,2.874481818,1.176091259,46.24817,24.39628658
734,16,0,43,3.41,0.060499532,0.041083996,3.56E-08,4.16E-08,0.076102827,0.063386276,2.86569606,1.204119983,48.13067,31.86072648
