romdasSpikes,calcSpikes,iri,meanY,sdY,meanX,sdX,meanZ,sdZ,romLog,iroadLog,,,
651,19,3.3,9.800693533,0.065928413,-5.05E-10,0.065928413,-4.64E-10,0.065928413,2.813580989,1.278753601,,Romdas VS Iroads CORCOEff = ,0.646433947
654,9,3.31,9.798118386,0.055046504,4.03E-10,0.055046504,7.60E-10,0.055046504,2.815577748,0.954242509,,Romdas VS Iroads CORCOEff (Romdas > 1500)=  ,0.527060767
660,14,3.31,9.799002702,0.064921909,-6.52E-11,0.064921909,4.75E-10,0.064921909,2.819543936,1.146128036,,Romdas VS Iroads CORCOEff (Romdas > 1000)=  ,0.619831377
667,21,3.32,9.798840539,0.072781016,1.76E-10,0.072781016,1.30E-10,0.072781016,2.824125834,1.322219295,,Log(Romdas) VS Log(Iroads) CORCOEff = ,0.639508257
677,14,3.33,9.7983798,0.066556906,-3.67E-11,0.066556906,9.86E-10,0.066556906,2.830588669,1.146128036,,,
718,14,3.38,9.796078846,0.058015711,1.11E-09,0.058015711,1.56E-10,0.058015711,2.856124444,1.146128036,,,
733,8,3.4,9.801212188,0.08201741,-9.27E-19,0.08201741,0.000808673,0.08201741,2.865103975,0.903089987,,,
734,22,3.41,9.798006988,0.07310346,1.15E-19,0.07310346,0.002878359,0.07310346,2.86569606,1.342422681,,,
740,9,3.41,9.797882413,0.052594662,2.37E-10,0.052594662,5.79E-10,0.052594662,2.86923172,0.954242509,,,
747,13,3.41,9.796971891,0.061943929,1.14E-10,0.061943929,-6.56E-10,0.061943929,2.873320602,1.113943352,,,
749,22,3.41,9.798164238,0.076993067,-3.27E-19,0.076993067,0.001797983,0.076993067,2.874481818,1.342422681,,,
774,24,3.45,9.802396272,0.069535951,-6.27E-10,0.069535951,-1.79E-10,0.069535951,2.888740961,1.380211242,,,
778,19,3.45,9.797406894,0.06269546,-1.48E-19,0.06269546,0.003284935,0.06269546,2.890979597,1.278753601,,,
801,11,3.47,9.803237741,0.062468713,8.15E-10,0.062468713,8.39E-11,0.062468713,2.903632516,1.041392685,,,
801,10,3.48,9.799510247,0.050041627,6.86E-19,0.050041627,0.001498701,0.050041627,2.903632516,1,,,
803,15,3.48,9.799071181,0.063728653,3.56E-19,0.063728653,0.003882508,0.063728653,2.904715545,1.176091259,,,
810,17,3.48,9.797287315,0.06317539,-4.46E-19,0.06317539,-0.005171408,0.06317539,2.908485019,1.230448921,,,
812,16,3.49,9.801206159,0.070572256,-2.03E-18,0.070572256,0.002928039,0.070572256,2.909556029,1.204119983,,,
817,22,3.49,9.800327627,0.08186847,-5.16E-19,0.08186847,0.000200649,0.08186847,2.912222057,1.342422681,,,
818,21,3.49,9.800732349,0.071156591,8.70E-11,0.071156591,7.49E-11,0.071156591,2.912753304,1.322219295,,,
821,6,3.5,9.802910625,0.054203665,-4.85E-11,0.054203665,-2.36E-10,0.054203665,2.914343157,0.77815125,,,
823,19,3.5,9.798811991,0.073123409,-5.23E-19,0.073123409,-0.001534007,0.073123409,2.915399835,1.278753601,,,
835,11,3.51,9.797462417,0.06069726,-6.55E-10,0.06069726,2.87E-10,0.06069726,2.921686475,1.041392685,,,
836,20,3.52,9.799123776,0.065497902,-4.54E-19,0.065497902,0.001325545,0.065497902,2.922206277,1.301029996,,,
837,17,3.52,9.80106359,0.062378974,-8.47E-19,0.062378974,-0.000661044,0.062378974,2.922725458,1.230448921,,,
838,13,3.52,9.798677123,0.061963692,2.59E-19,0.061963692,-0.003792181,0.061963692,2.923244019,1.113943352,,,
840,17,3.52,9.799431377,0.063860298,1.23E-11,0.063860298,1.46E-11,0.063860298,2.924279286,1.230448921,,,
846,20,3.53,9.803536301,0.077102019,4.49E-11,0.077102019,-2.79E-10,0.077102019,2.927370363,1.301029996,,,
847,15,3.53,9.805100813,0.066487442,4.51E-10,0.066487442,-1.05E-09,0.066487442,2.92788341,1.176091259,,,
851,14,3.53,9.802435583,0.061735205,6.13E-19,0.061735205,-0.004058586,0.061735205,2.92992956,1.146128036,,,
853,26,3.54,9.800814702,0.091944081,-1.99E-18,0.091944081,0.002552343,0.091944081,2.930949031,1.414973348,,,
855,26,3.54,9.803037122,0.08581844,-2.89E-10,0.08581844,-3.89E-10,0.08581844,2.931966115,1.414973348,,,
856,18,3.54,9.799651752,0.072694129,1.41E-18,0.072694129,0.003866059,0.072694129,2.932473765,1.255272505,,,
862,8,3.56,9.796067876,0.052804894,-1.12E-18,0.052804894,0.003759379,0.052804894,2.935507266,0.903089987,,,
870,15,3.56,9.798053817,0.059611708,-3.39E-19,0.059611708,-0.002974009,0.059611708,2.939519253,1.176091259,,,
872,11,3.56,9.795025309,0.054648137,-1.00E-18,0.054648137,0.003430331,0.054648137,2.940516485,1.041392685,,,
877,21,3.56,9.792844966,0.077793403,1.38E-09,0.077793403,-4.33E-10,0.077793403,2.942999593,1.322219295,,,
881,15,3.57,9.799577639,0.069374378,2.08E-18,0.069374378,0.002410435,0.069374378,2.944975908,1.176091259,,,
893,20,3.58,9.804130968,0.072644018,9.10E-19,0.072644018,-0.002717112,0.072644018,2.950851459,1.301029996,,,
901,16,3.59,9.800090133,0.063841679,-1.06E-19,0.063841679,-0.002341252,0.063841679,2.954724791,1.204119983,,,
903,25,3.59,9.803316933,0.067520337,-1.33E-10,0.067520337,-3.51E-10,0.067520337,2.95568775,1.397940009,,,
907,15,3.6,9.79893647,0.069451157,-3.20E-19,0.069451157,0.011317399,0.069451157,2.957607287,1.176091259,,,
909,18,3.6,9.799582784,0.063706032,9.27E-10,0.063706032,5.43E-10,0.063706032,2.958563883,1.255272505,,,
909,30,4.87,9.802104647,0.077150262,1.43E-10,0.077150262,3.37E-10,0.077150262,2.958563883,1.477121255,,,
915,16,3.61,9.799553494,0.064206223,4.18E-10,0.064206223,-3.48E-11,0.064206223,2.961421094,1.204119983,,,
918,25,3.61,9.797296794,0.073336479,-1.57E-10,0.073336479,1.77E-11,0.073336479,2.962842681,1.397940009,,,
926,23,3.62,9.795217388,0.076530265,2.29E-10,0.076530265,5.58E-10,0.076530265,2.966610987,1.361727836,,,
926,14,3.63,9.799175667,0.066731275,5.03E-19,0.066731275,-0.012979825,0.066731275,2.966610987,1.146128036,,,
938,25,3.63,9.799916249,0.083021808,-3.68E-10,0.083021808,1.16E-10,0.083021808,2.972202838,1.397940009,,,
943,17,3.64,9.802007668,0.069348858,5.78E-19,0.069348858,0.009442236,0.069348858,2.974511693,1.230448921,,,
944,10,3.64,9.805429412,0.063146415,-7.79E-19,0.063146415,-0.006546781,0.063146415,2.974971994,1,,,
946,24,3.64,9.8033011,0.077127617,-8.24E-10,0.077127617,-3.44E-10,0.077127617,2.975891136,1.380211242,,,
953,19,3.65,9.800420145,0.066265756,-5.07E-19,0.066265756,-0.000423677,0.066265756,2.979092901,1.278753601,,,
963,16,3.66,9.799339315,0.06363544,3.44E-10,0.06363544,3.01E-10,0.06363544,2.983626287,1.204119983,,,
965,17,3.66,9.80250046,0.069419605,-1.80E-09,0.069419605,-2.40E-10,0.069419605,2.984527313,1.230448921,,,
966,13,3.67,9.801392911,0.052131386,3.18E-10,0.052131386,-1.97E-10,0.052131386,2.984977126,1.113943352,,,
967,27,3.67,9.801957566,0.072807868,4.62E-19,0.072807868,-0.001534635,0.072807868,2.985426474,1.431363764,,,
978,20,3.68,9.802231814,0.096201826,2.35E-18,0.096201826,-0.001426818,0.096201826,2.990338855,1.301029996,,,
981,20,3.68,9.795620319,0.069533658,9.04E-10,0.069533658,-1.22E-10,0.069533658,2.991669007,1.301029996,,,
981,13,3.69,9.799792963,0.05909264,-5.02E-10,0.05909264,8.11E-10,0.05909264,2.991669007,1.113943352,,,
982,7,3.68,9.799701505,0.049304361,-2.41E-19,0.049304361,-0.000520248,0.049304361,2.992111488,0.84509804,,,
983,20,3.69,9.800184443,0.07424552,-5.23E-19,0.07424552,-0.006556327,0.07424552,2.992553518,1.301029996,,,
992,2,3.69,9.799637638,0.038261894,2.62E-18,0.038261894,-0.004478222,0.038261894,2.996511672,0.301029996,,,
993,25,3.7,9.796249597,0.091207943,1.79E-19,0.091207943,0.001706673,0.091207943,2.996949248,1.397940009,,,
998,12,3.7,9.799910453,0.066757708,-1.28E-19,0.066757708,-0.003738868,0.066757708,2.999130541,1.079181246,,,
1001,24,3.72,9.797275931,0.076240443,-9.09E-19,0.076240443,-0.002502502,0.076240443,3.000434077,1.380211242,,,
1003,35,3.71,9.795673836,0.111460716,2.15E-18,0.111460716,0.001352633,0.111460716,3.001300933,1.544068044,,,
1005,42,3.71,9.803333765,0.08192621,2.60E-18,0.08192621,0.001188046,0.08192621,3.002166062,1.62324929,,,
1006,28,3.71,9.796705578,0.082074675,1.72E-18,0.082074675,0.004174792,0.082074675,3.002597981,1.447158031,,,
1007,16,3.72,9.800020373,0.058878292,-5.64E-19,0.058878292,-0.002117819,0.058878292,3.003029471,1.204119983,,,
1008,15,3.73,9.802582704,0.060413131,2.52E-10,0.060413131,-6.72E-10,0.060413131,3.003460532,1.176091259,,,
1009,14,3.72,9.799314727,0.059517328,9.79E-19,0.059517328,-0.007754999,0.059517328,3.003891166,1.146128036,,,
1012,34,3.72,9.804338409,0.106921485,7.19E-19,0.106921485,0.001016723,0.106921485,3.005180513,1.531478917,,,
1014,9,3.72,9.799627094,0.050849537,-6.49E-10,0.050849537,3.97E-10,0.050849537,3.006037955,0.954242509,,,
1014,14,3.72,9.797510111,0.063891237,-8.34E-10,0.063891237,1.47E-10,0.063891237,3.006037955,1.146128036,,,
1015,23,3.73,9.800680816,0.052941923,-7.48E-20,0.052941923,-0.0009383,0.052941923,3.006466042,1.361727836,,,
1017,32,3.73,9.799407434,0.094729838,1.19E-19,0.094729838,0.004539927,0.094729838,3.007320953,1.505149978,,,
1018,20,3.73,9.795428117,0.081119046,-1.58E-19,0.081119046,-0.000749101,0.081119046,3.007747778,1.301029996,,,
1021,16,3.73,9.800469636,0.073275192,-1.94E-13,0.073275192,-1.23E-11,0.073275192,3.009025742,1.204119983,,,
1023,20,3.73,9.798200085,0.082288436,-5.28E-19,0.082288436,0.004617508,0.082288436,3.009875634,1.301029996,,,
1023,14,3.74,9.800144215,0.064872319,1.05E-19,0.064872319,0.00427323,0.064872319,3.009875634,1.146128036,,,
1026,19,3.74,9.799970347,0.070691183,1.26E-10,0.070691183,-5.56E-10,0.070691183,3.011147361,1.278753601,,,
1026,29,3.73,9.800321571,0.103229139,8.13E-10,0.103229139,-4.86E-10,0.103229139,3.011147361,1.462397998,,,
1032,16,3.74,9.798773354,0.062546908,1.83E-19,0.062546908,0.00695704,0.062546908,3.013679697,1.204119983,,,
1038,31,3.75,9.79859706,0.08840122,-1.82E-19,0.08840122,-0.000254378,0.08840122,3.016197354,1.491361694,,,
1039,30,3.75,9.798666169,0.095478201,-3.04E-19,0.095478201,-0.000844676,0.095478201,3.016615548,1.477121255,,,
1043,31,3.76,9.798811606,0.086835564,1.58E-19,0.086835564,0.000679018,0.086835564,3.018284308,1.491361694,,,
1046,31,3.76,9.799833667,0.0845063,1.42E-19,0.0845063,0.003480867,0.0845063,3.019531685,1.491361694,,,
1049,14,3.76,9.798159885,0.071371909,-4.15E-19,0.071371909,-0.012508323,0.071371909,3.020775488,1.146128036,,,
1049,17,3.76,9.800249152,0.059032936,-2.20E-19,0.059032936,-0.000714303,0.059032936,3.020775488,1.230448921,,,
1050,17,3.76,9.793366309,0.144662313,-6.35E-20,0.144662313,-0.007177264,0.144662313,3.021189299,1.230448921,,,
1057,39,3.77,9.798048714,0.072293208,7.14E-10,0.072293208,-4.12E-10,0.072293208,3.024074987,1.591064607,,,
1059,16,3.77,9.795354998,0.065961697,-2.89E-10,0.065961697,5.03E-10,0.065961697,3.02489596,1.204119983,,,
1060,35,3.78,9.799066495,0.074894373,-3.30E-19,0.074894373,0.004953476,0.074894373,3.025305865,1.544068044,,,
1063,24,3.78,9.797834733,0.059403639,7.48E-10,0.059403639,-6.31E-10,0.059403639,3.026533265,1.380211242,,,
1064,6,3.78,9.802547934,0.050760757,-4.66E-10,0.050760757,-1.73E-10,0.050760757,3.026941628,0.77815125,,,
1065,31,3.78,9.801055989,0.07793552,-5.99E-12,0.07793552,2.77E-10,0.07793552,3.027349608,1.491361694,,,
1069,45,3.79,9.79857439,0.167583218,1.65E-19,0.167583218,-0.005022258,0.167583218,3.028977705,1.653212514,,,
1082,19,3.8,9.800925971,0.057851099,1.05E-19,0.057851099,0.002891429,0.057851099,3.034227261,1.278753601,,,
1092,8,3.81,9.799328651,0.049255816,-2.27E-10,0.049255816,1.64E-10,0.049255816,3.038222638,0.903089987,,,
1093,27,3.82,9.799565279,0.075832558,9.07E-19,0.075832558,-0.012311022,0.075832558,3.038620162,1.431363764,,,
1096,23,3.82,9.800237139,0.085075348,2.60E-19,0.085075348,0.000140572,0.085075348,3.039810554,1.361727836,,,
1098,20,3.82,9.801629109,0.089240933,-1.55E-19,0.089240933,0.00188275,0.089240933,3.04060234,1.301029996,,,
1099,22,3.82,9.802456659,0.07153131,2.53E-18,0.07153131,0.002900998,0.07153131,3.040997692,1.342422681,,,
