romdasSpikes,calcSpikesY,calcSpikesX,calcSpikesZ,calcSpikesAll,iri,meanY,sdY,meanX,sdX,meanZ,sdZ,romLog,iroadLog,speed,gpsSpeed,yMax,xMax,zMax
,4,45,,,4.175,,,,,,,,,32.24064,31.86358748932896,,,
,5,80,,,3.7,,,,,,,,,41.965325,41.53034885678418,,,
,1,69,,,3.41,,,,,,,,,46.524805,47.5312251811695,,,
,13,73,,,3.8049999999999997,,,,,,,,,41.98161,40.87668327674871,,,
,4,72,,,3.85,,,,,,,,,34.18211,34.16092436210924,,,
,2,70,,,3.51,,,,,,,,,41.86398,40.86542701145085,,,
,4,73,,,3.315,,,,,,,,,44.051405,45.62741543460435,,,
,8,56,,,3.515,,,,,,,,,44.956845,46.06429445984171,,,
,11,69,,,3.6100000000000003,,,,,,,,,43.115245,42.29026919539342,,,
,7,58,,,3.475,,,,,,,,,46.675585,47.913115459179664,,,
,4,59,,,3.315,,,,,,,,,46.661204999999995,48.31091819090483,,,
,6,59,,,3.67,,,,,,,,,41.07499,41.02974951403122,,,
,10,95,,,3.83,,,,,,,,,41.87632,42.33994906869469,,,
,84,96,,,4.29,,,,,,,,,16.452928,10.541303135738366,,,
,6,97,,,3.705,,,,,,,,,40.87128,42.10525336856792,,,
,6,69,,,3.74,,,,,,,,,44.10165,43.1349688221292,,,
,10,85,,,4.23,,,,,,,,,39.779705,39.53638393150282,,,
,12,80,,,4.07,,,,,,,,,42.370785,41.33679786870722,,,
,26,116,,,4.115,,,,,,,,,24.3615065,16.856564348071526,,,
,3,42,,,3.76,,,,,,,,,30.99006,28.769440979224672,,,
,4,44,,,3.41,,,,,,,,,47.18942,49.88591318635678,,,
,8,58,,,3.615,,,,,,,,,44.373455,44.76986539829749,,,
,114,145,,,7.27,,,,,,,,,23.90631,24.89590878164009,,,
,80,98,,,5.775,,,,,,,,,25.14108,26.889409802052946,,,
,37,56,,,5.695,,,,,,,,,18.22979,16.811294384017,,,
,75,108,,,5.645,,,,,,,,,29.942915,30.530089441123263,,,
,82,114,,,5.9399999999999995,,,,,,,,,29.853065,31.81919084636709,,,
,49,99,,,5.695,,,,,,,,,20.43948,17.79481605569494,,,
,38,68,,,5.075,,,,,,,,,22.36317,20.66244097419716,,,
,6,103,,,3.885,,,,,,,,,41.104985,40.214615299618515,,,
,18,61,,,3.825,,,,,,,,,30.582265,27.45339964125908,,,
,12,94,,,4.0,,,,,,,,,21.610295,21.9080957290495,,,
,6,120,,,4.125,,,,,,,,,26.222160000000002,26.757339831208252,,,
,8,41,,,4.045,,,,,,,,,32.29137,33.267396263218316,,,
,7,37,,,4.445,,,,,,,,,21.582425,21.326204233431287,,,
,19,88,,,3.77,,,,,,,,,20.65849,18.202138671723798,,,
,8,28,,,3.78,,,,,,,,,26.613625,26.31246390069233,,,
,16,71,,,4.485,,,,,,,,,30.752274999999997,32.20601990286992,,,
,4,57,,,4.265000000000001,,,,,,,,,30.53963,31.17777267678667,,,
,11,58,,,4.025,,,,,,,,,18.119764,16.816027491927304,,,
,8,58,,,3.725,,,,,,,,,38.11151,38.80293569002075,,,
,2,44,,,3.52,,,,,,,,,40.765545,40.45364856035026,,,
,10,102,,,4.1899999999999995,,,,,,,,,35.013865,34.01254202363099,,,
,8,71,,,3.9400000000000004,,,,,,,,,39.395325,38.80886606264372,,,
,4,65,,,3.67,,,,,,,,,41.52377,42.29033471683907,,,
,4,84,,,4.16,,,,,,,,,35.83236,35.623054812313676,,,
